Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Add-site,9,46929,43238,50087,2731.61,0.000%,.07795,0.06,0.37,811.0
ASsave-site-curr-optimisation-flag,9,1587,576,4357,1196.49,0.000%,.13021,0.10,0.18,800.0
ASsite-rank-save,9,2976,2078,4362,799.68,0.000%,.13054,2.51,0.23,19669.0
AScountry-rank-save,9,2058,1545,2761,316.46,0.000%,.13213,2.88,0.23,22307.0
ASupdate-scenario-status,9,1058,726,1342,215.61,0.000%,.13512,0.11,0.16,816.0
ASsite-rank-display,9,1219,808,1894,321.28,0.000%,.13460,2.58,0.24,19643.0
Add Sites,9,66643,54095,88629,11904.62,0.000%,.07111,5.23,1.29,75323.0
validate-optimize-flag,9,6416,819,16184,6144.59,0.000%,.13545,0.10,0.17,791.0
optimize-constraints,9,1982,743,4520,1107.07,0.000%,.17293,0.14,0.21,837.0
display-constraints,54,5070,510,60092,13137.11,3.704%,.28165,6.47,0.52,23511.1
optimize button click,9,10110,2313,22550,7570.66,0.000%,.12915,0.34,0.50,2714.0
save-constraints,36,2399,508,38047,6139.86,0.000%,.18223,0.15,0.25,837.0
optimize Filters & Constraints Next,9,1947,1041,2741,530.71,0.000%,.18155,0.97,0.54,5456.0
Region configuration Next,9,24969,1658,104062,42091.43,22.222%,.05940,3.35,0.27,57796.8
validate-constraints,27,23527,537,60138,28070.52,37.037%,.10931,0.12,0.14,1144.0
Country configuration  Next,9,18198,3303,105503,31338.69,11.111%,.05382,4.21,0.42,80135.9
optimize Site configuration Save,9,3702,1045,9402,3477.26,0.000%,.05263,0.08,0.14,1628.0
site-rank,1057,6103,1278,60186,3782.95,0.568%,.23965,0.21,0.42,909.4
view-comments,9,5332,1471,7701,2274.98,0.000%,.07875,0.06,0.10,743.0
narrow-result,18,3783,734,5585,1356.22,0.000%,.15780,0.11,0.21,736.0
scenario-map-view,9,3049,619,4545,1172.46,0.000%,.08281,0.06,0.10,797.0
last-module-activated,9,3349,979,4402,1113.26,0.000%,.08394,0.06,0.11,751.0
Site Run optimization,9,125550,73785,155474,32126.43,100.000%,.03510,0.26,0.45,7653.7
optimize site prioritization dislay call,3,24199,24091,24280,79.60,0.000%,.02482,0.53,0.04,22046.7
country-rank,3,6157,6111,6225,48.92,0.000%,.02915,0.66,0.05,23190.3
optimize country prioritization dislay call,3,24165,24119,24233,48.92,0.000%,.02481,0.56,0.04,23190.3
pi-rank,3,985,713,1261,223.73,0.000%,.03076,0.40,0.05,13247.0
optimize Pi prioritization dislay call,3,18996,18720,19279,228.25,0.000%,.02596,0.34,0.04,13247.0
TOTAL,4281,7909,307,868374,40492.07,1.378%,.68497,5.19,1.88,7765.9
