Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Site experience metric,25,105549,51768,141638,24453.38,0.000%,.02247,0.29,0.26,13293.0
site-tiering/experience,25,32723,10517,44925,9826.74,0.000%,.02537,0.12,0.03,4812.3
Site Performance Grade experience,25,32723,10517,44925,9826.74,0.000%,.02537,0.12,0.03,4812.3
site-tiering/performance,25,30304,11356,42835,8137.05,0.000%,.02528,0.14,0.04,5703.2
Site Performance Grade experience performance,25,30304,11356,42835,8137.05,0.000%,.02528,0.14,0.04,5703.2
sites-detail,25,24541,675,38487,10630.92,0.000%,.02593,0.07,0.03,2636.8
Site details,25,24541,675,38487,10630.92,0.000%,.02593,0.07,0.03,2636.8
sitemap-inv,25,33095,771,52399,14867.48,0.000%,.02569,0.56,0.03,22244.6
generate-experience-category-investigator-new,25,16017,3298,34797,10996.69,0.000%,.02622,0.02,0.03,894.0
check-async-status -investigator experience polling,294,2184,471,36172,4986.81,0.000%,.30162,0.22,0.34,757.3
Investigator experience async,25,84569,35822,194887,45978.75,0.000%,.02552,0.22,0.34,8905.3
Investigator map,25,74800,12776,152314,34589.83,0.000%,.02461,0.77,0.39,32043.9
investigator/experience-metric-generate,25,5961,3285,21436,4935.87,0.000%,.02970,0.03,0.04,894.0
check-async-status-Investigator trial async polling,206,3817,452,35564,7331.04,0.000%,.24479,0.18,0.28,757.4
Investigator trial async polling,25,72714,22154,178780,43522.80,0.000%,.02953,0.18,0.27,6240.7
Investigator experiece display,25,8498,560,33785,8409.02,0.000%,.03043,0.06,0.04,2165.1
Investigator experience metric,25,45912,6216,138733,33647.02,0.000%,.02891,0.26,0.34,9299.8
investigator-tiering/experience,25,33348,10211,167075,28589.61,0.000%,.03062,0.15,0.04,4929.0
Investigator performance grade experience,25,33348,10211,167075,28589.61,0.000%,.03062,0.15,0.04,4929.0
investigator-tiering/performance,25,27098,9306,43352,9047.14,0.000%,.03796,0.18,0.05,4784.4
Investigator performance grade- performance,25,27098,9306,43352,9047.14,0.000%,.03796,0.18,0.05,4784.4
investigator-detail,25,29269,8221,45326,11309.97,0.000%,.03999,0.14,0.05,3596.4
Investigator detail display ,25,29269,8221,45326,11309.97,0.000%,.03999,0.14,0.05,3596.4
TOTAL,10882,11634,0,1427087,73341.53,0.018%,3.21777,116.39,12.01,37038.4
